@relation lavadero_autos-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5

@attribute Dia_Semana {Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo}
@attribute Hora numeric
@attribute Clima {Soleado,Lluvioso,Nublado}
@attribute Temperatura numeric
@attribute Historial_Visitas numeric
@attribute Promociones_Activas {Si,No}
@attribute Demanda_Alta {Si,No}

@data
Lunes,8,Soleado,23.3,19,Si,No
Sabado,17,Nublado,26.6,15,No,No
Martes,8,Soleado,21.2,16,Si,No
Lunes,9,Nublado,23.2,0,Si,No
Lunes,18,Nublado,17.1,16,Si,Si
Viernes,20,Soleado,25.4,2,Si,Si
Sabado,10,Lluvioso,24.6,5,No,Si
Miercoles,20,Lluvioso,22,18,No,Si
Viernes,19,Soleado,20.4,13,No,No
Lunes,11,Lluvioso,14.1,9,No,No
Sabado,13,Nublado,15.5,19,Si,Si
Sabado,16,Nublado,23.4,4,No,Si
Sabado,20,Lluvioso,17.7,6,Si,Si
Viernes,19,Lluvioso,10,15,Si,Si
Sabado,9,Soleado,23.1,12,No,Si
Viernes,18,Nublado,15.5,15,Si,Si
Viernes,12,Soleado,34,11,No,No
Jueves,13,Nublado,16.9,20,No,No
Sabado,16,Soleado,30.5,13,Si,Si
Domingo,13,Nublado,15.5,3,No,No
Jueves,19,Soleado,26.1,0,Si,Si
Jueves,12,Lluvioso,23.1,11,Si,No
Sabado,17,Soleado,30.3,8,No,Si
Lunes,14,Nublado,26.7,14,Si,No
Domingo,20,Soleado,30.5,18,Si,Si
Martes,18,Soleado,28.5,17,No,No
Martes,14,Soleado,33.6,10,Si,No
Lunes,11,Soleado,22,17,Si,No
Viernes,14,Lluvioso,13.4,14,No,No
Sabado,9,Nublado,22.8,8,Si,Si
Lunes,19,Lluvioso,20.4,16,Si,Si
Lunes,19,Soleado,28.2,9,No,Si
Sabado,18,Nublado,29.2,5,Si,Si
Jueves,19,Nublado,26.2,19,No,Si
Jueves,18,Lluvioso,23.6,19,No,No
Domingo,16,Lluvioso,19.2,5,Si,Si
Martes,19,Soleado,29.5,8,No,No
Sabado,12,Lluvioso,13.2,7,Si,Si
Jueves,13,Lluvioso,23.8,4,No,No
Jueves,13,Lluvioso,13.9,3,Si,No
Domingo,10,Nublado,21.7,6,Si,Si
Sabado,13,Nublado,15.5,2,No,Si
Sabado,14,Nublado,26.9,0,Si,No
Jueves,12,Lluvioso,15.7,0,Si,No
Viernes,18,Soleado,28.1,8,Si,Si
Lunes,20,Soleado,33.4,19,No,Si
Viernes,14,Nublado,24.4,12,Si,No
Martes,18,Lluvioso,18.8,12,Si,Si
Martes,20,Nublado,27.7,1,Si,Si
Sabado,20,Lluvioso,19.8,6,Si,Si
Miercoles,16,Soleado,22.8,1,No,No
Jueves,8,Lluvioso,21.8,14,No,No
Domingo,15,Soleado,34,4,No,Si
Viernes,8,Nublado,28.4,9,Si,No
Sabado,15,Soleado,23.1,6,No,Si
Domingo,12,Lluvioso,19.2,16,Si,No
Martes,11,Lluvioso,14.5,16,Si,No
Martes,19,Nublado,15.5,5,Si,Si
Martes,15,Soleado,33,13,No,No
Domingo,13,Lluvioso,20.2,15,Si,Si
Domingo,11,Soleado,21.8,20,No,No
Miercoles,19,Nublado,21.5,14,No,Si
Sabado,9,Lluvioso,23.4,20,Si,Si
Lunes,9,Soleado,34.7,11,No,No
Martes,16,Soleado,30.5,15,Si,No
Domingo,20,Nublado,26.5,3,Si,No
Miercoles,16,Nublado,20.8,9,No,No
Lunes,9,Soleado,22.1,18,No,No
Sabado,14,Lluvioso,23.4,2,Si,Si
Jueves,20,Lluvioso,21.9,7,Si,No
Jueves,15,Lluvioso,10.4,10,No,No
Viernes,14,Nublado,18.7,7,No,No
Domingo,14,Lluvioso,20.7,8,No,Si
Lunes,9,Lluvioso,14.7,4,No,No
Miercoles,13,Nublado,22.3,10,Si,No
Lunes,13,Nublado,22.3,16,No,No
Viernes,10,Lluvioso,10.4,11,Si,No
Sabado,14,Lluvioso,21.6,14,Si,No
Jueves,14,Nublado,27.6,5,No,No
Sabado,17,Soleado,29.4,20,No,No
Martes,16,Nublado,27.5,8,No,No
Martes,16,Soleado,31.7,20,Si,No
Lunes,8,Lluvioso,19.3,15,No,No
Domingo,19,Nublado,17.2,4,No,No
Lunes,18,Nublado,21.8,8,No,No
Jueves,9,Soleado,22.3,0,No,No
Jueves,8,Nublado,21.6,8,No,No
Viernes,8,Lluvioso,23.3,15,Si,No
Jueves,8,Nublado,22.5,7,No,No
Miercoles,18,Soleado,25.4,19,Si,Si
Lunes,16,Nublado,23.1,0,Si,No
Domingo,9,Soleado,30.6,3,Si,No
Miercoles,15,Lluvioso,23.4,3,No,No
Viernes,17,Lluvioso,24.9,12,No,No
Sabado,17,Lluvioso,10.5,11,Si,Si
Jueves,10,Soleado,27.2,6,No,No
Jueves,18,Nublado,23.8,3,No,No
Jueves,19,Soleado,22.2,4,Si,No
Lunes,13,Nublado,28.7,2,No,No
Domingo,20,Soleado,23.4,19,Si,Si
Sabado,19,Nublado,28.8,15,No,Si
Martes,17,Nublado,23.6,15,Si,Si
Sabado,8,Lluvioso,18.1,9,Si,Si
Viernes,16,Lluvioso,17.2,9,Si,No
Sabado,13,Soleado,27.6,2,No,No
Lunes,15,Nublado,18.3,5,Si,No
Viernes,17,Lluvioso,17.4,15,No,Si
Martes,20,Soleado,31.8,13,Si,Si
Sabado,8,Lluvioso,15.9,9,No,Si
Lunes,10,Lluvioso,21,13,No,No
Lunes,9,Nublado,26.2,10,No,No
Martes,8,Lluvioso,11.6,0,No,No
Miercoles,19,Nublado,24,14,Si,Si
Sabado,14,Nublado,23.4,1,Si,Si
Lunes,20,Soleado,29.9,10,No,Si
Sabado,18,Nublado,24.3,10,No,No
Lunes,11,Nublado,15.9,1,Si,No
Domingo,16,Nublado,29.3,3,No,Si
Sabado,18,Soleado,24.1,17,Si,Si
Sabado,17,Nublado,18.5,4,No,No
Lunes,15,Nublado,20.6,5,Si,No
Martes,15,Lluvioso,15.3,17,Si,No
Martes,12,Soleado,27.6,15,No,No
Miercoles,13,Soleado,26.8,7,No,No
Lunes,11,Lluvioso,15.3,9,Si,No
Viernes,10,Nublado,21.1,2,Si,No
Domingo,14,Nublado,29.8,8,Si,No
Lunes,10,Soleado,31.5,3,Si,No
Domingo,13,Lluvioso,23.6,0,Si,No
Miercoles,13,Soleado,32,13,Si,No
Martes,16,Lluvioso,17.3,5,No,No
Viernes,19,Nublado,19.7,11,Si,No
Viernes,20,Nublado,25,20,Si,Si
Martes,8,Soleado,27.8,1,No,No
Miercoles,12,Lluvioso,15.2,0,No,No
Jueves,11,Soleado,31.7,14,No,No
Miercoles,16,Lluvioso,12,12,No,No
Domingo,18,Nublado,23.2,4,No,No
Viernes,20,Soleado,25.1,6,Si,Si
Lunes,18,Soleado,25.4,0,Si,Si
Domingo,13,Lluvioso,17.3,15,No,No
Domingo,9,Nublado,29.7,2,Si,Si
Domingo,8,Lluvioso,10,0,Si,Si
Jueves,15,Lluvioso,13.7,18,No,No
Martes,16,Soleado,30,17,Si,No
Viernes,15,Lluvioso,24.1,2,Si,No
Viernes,9,Soleado,25.4,12,No,No
Sabado,20,Nublado,17.6,0,No,Si
Martes,19,Lluvioso,19.8,12,No,Si
Sabado,15,Nublado,26.1,19,No,Si
Viernes,15,Soleado,27.1,5,No,No
Miercoles,8,Lluvioso,18.5,17,Si,No
Miercoles,19,Soleado,31.4,18,Si,Si
Lunes,10,Soleado,24.1,8,No,No
Viernes,17,Nublado,18.2,16,No,Si
Lunes,17,Lluvioso,21.1,10,Si,Si
Jueves,16,Soleado,31.8,8,No,No
Jueves,16,Soleado,27,4,No,No
Lunes,17,Nublado,20.5,0,No,Si
Lunes,18,Nublado,23.9,16,Si,Si
Lunes,10,Soleado,20.1,16,No,No
Viernes,8,Nublado,19.4,2,No,No
Domingo,8,Lluvioso,14.2,12,No,Si
Miercoles,9,Nublado,18.6,14,Si,No
Miercoles,12,Soleado,20.5,14,Si,No
Martes,19,Soleado,34.1,18,Si,No
Viernes,14,Soleado,30.2,11,Si,No
Martes,18,Nublado,24.2,12,No,Si
Miercoles,8,Lluvioso,10.1,2,No,No
Domingo,18,Soleado,26.7,20,Si,Si
Jueves,19,Nublado,29.5,11,Si,Si
Sabado,9,Soleado,28.5,6,Si,No
Domingo,9,Soleado,23.5,5,No,Si
Sabado,17,Soleado,24.3,0,No,Si
Sabado,8,Lluvioso,23.7,20,No,Si
Miercoles,18,Soleado,32.8,19,Si,Si
Sabado,19,Nublado,27.4,15,No,Si
Miercoles,9,Soleado,31.1,15,No,No
Jueves,18,Soleado,25,8,Si,Si
Lunes,17,Nublado,24.7,0,No,Si
Domingo,8,Nublado,27.1,10,Si,Si
Miercoles,11,Lluvioso,12,17,No,No
Sabado,17,Nublado,26.8,19,No,No
Jueves,16,Soleado,26.5,12,Si,No
Domingo,11,Soleado,27.7,13,Si,Si
Jueves,15,Lluvioso,17.2,6,No,No
Sabado,13,Soleado,23.6,12,Si,No
Jueves,19,Nublado,16.6,4,No,No
Sabado,13,Nublado,27,7,Si,Si
Viernes,10,Nublado,17,16,No,No
Lunes,14,Lluvioso,10.4,5,Si,No
Domingo,16,Soleado,24,12,No,No
Sabado,16,Soleado,28.3,7,Si,Si
Sabado,11,Soleado,33.3,1,No,No
Viernes,12,Lluvioso,14.4,10,Si,No
Lunes,8,Soleado,31.7,0,Si,No
Jueves,16,Lluvioso,20.7,3,No,No
Viernes,12,Lluvioso,15.2,11,Si,No
Miercoles,17,Soleado,24.7,17,No,Si
Domingo,10,Lluvioso,12.6,16,No,Si
Miercoles,13,Soleado,34.3,3,Si,No
Lunes,17,Soleado,30.8,19,No,No
Sabado,17,Lluvioso,22.7,11,Si,Si
Martes,17,Soleado,29,11,Si,Si
Jueves,11,Lluvioso,17,10,No,No
Sabado,12,Nublado,26.9,10,No,No
Domingo,19,Soleado,27.1,5,Si,Si
Domingo,12,Soleado,30.7,11,No,Si
Martes,18,Nublado,29.8,14,No,Si
Sabado,16,Soleado,25.8,9,No,Si
Martes,10,Soleado,29,14,Si,No
Martes,12,Nublado,29.7,18,Si,No
Jueves,14,Nublado,27.5,7,Si,No
Martes,13,Soleado,26.1,20,Si,No
Lunes,14,Nublado,16.3,1,No,No
Lunes,17,Soleado,21.5,14,No,No
Martes,12,Soleado,26.2,1,No,No
Lunes,9,Lluvioso,20.6,9,No,No
Viernes,9,Lluvioso,22.5,12,No,No
Sabado,19,Nublado,25.1,13,Si,Si
Jueves,16,Lluvioso,20.2,15,No,No
Miercoles,16,Nublado,23.8,10,Si,No
Sabado,18,Nublado,27.2,15,Si,No
Lunes,10,Lluvioso,15.9,18,Si,No
Lunes,10,Soleado,33.2,0,Si,No
Viernes,10,Soleado,30.7,4,Si,No
Viernes,13,Lluvioso,11.1,1,Si,No
Domingo,9,Lluvioso,10.5,0,No,No
Jueves,8,Soleado,23.5,5,No,No
Miercoles,17,Lluvioso,20.9,18,No,Si
Miercoles,12,Nublado,21.3,16,Si,No
Martes,17,Nublado,29.2,20,Si,Si
Viernes,12,Nublado,29.9,16,No,No
Sabado,15,Nublado,23.8,11,No,No
Domingo,11,Nublado,26.4,13,Si,Si
Jueves,16,Lluvioso,22.2,12,No,No
Domingo,19,Soleado,33.5,6,Si,Si
Martes,12,Lluvioso,23.3,4,Si,No
Martes,20,Lluvioso,10.8,17,No,Si
Martes,10,Soleado,21.6,9,Si,No
Viernes,17,Soleado,30.7,18,No,No
Domingo,20,Nublado,27.3,9,Si,No
Lunes,20,Nublado,15.5,2,Si,Si
Miercoles,19,Nublado,17.1,11,No,No
Domingo,11,Nublado,25,14,No,Si
Martes,19,Nublado,22.6,1,Si,Si
Jueves,11,Lluvioso,18,12,Si,No
Lunes,19,Nublado,17.8,18,Si,No
Lunes,12,Soleado,25.7,14,No,No
Jueves,15,Nublado,19.8,0,No,No
Domingo,9,Soleado,33.5,7,Si,Si
Miercoles,20,Soleado,33.2,16,No,Si
Lunes,13,Nublado,20.5,16,No,No
Sabado,13,Lluvioso,16.3,20,Si,Si
Lunes,8,Lluvioso,19.7,15,No,No
Jueves,10,Lluvioso,11.8,16,Si,No
Domingo,19,Lluvioso,20.6,12,Si,Si
Jueves,14,Nublado,17.6,9,No,No
Jueves,17,Nublado,20.7,7,Si,No
Miercoles,20,Lluvioso,21.5,4,Si,Si
Jueves,13,Soleado,30,17,Si,No
Jueves,16,Soleado,27.6,10,No,No
Sabado,12,Nublado,16,19,Si,No
Martes,17,Soleado,30.1,13,No,No
Domingo,10,Nublado,19.3,9,Si,Si
Jueves,12,Soleado,32.5,19,Si,No
Viernes,20,Lluvioso,19.8,18,No,Si
Martes,16,Lluvioso,14.9,13,No,No
Domingo,20,Soleado,31.4,13,Si,Si
Viernes,12,Nublado,29.2,14,No,No
Domingo,8,Soleado,22.7,12,Si,Si
Sabado,20,Soleado,22.7,2,Si,Si
Miercoles,18,Nublado,28.3,10,No,Si
Domingo,20,Soleado,29.4,12,No,Si
Domingo,11,Nublado,16.2,17,Si,Si
Viernes,16,Nublado,28.3,17,No,No
Domingo,16,Nublado,22.2,7,No,No
Viernes,17,Lluvioso,15.1,9,No,Si
Miercoles,10,Soleado,32.9,11,No,No
Viernes,17,Nublado,24.2,15,No,Si
Viernes,12,Lluvioso,23.9,5,No,No
Miercoles,19,Soleado,34.4,14,No,Si
Miercoles,17,Soleado,32.2,7,No,No
Sabado,18,Lluvioso,11,8,No,Si
Domingo,16,Soleado,24.1,3,No,Si
Miercoles,18,Soleado,23.8,10,No,No
Martes,11,Nublado,26.7,10,Si,No
Miercoles,9,Soleado,24.8,7,No,No
Domingo,19,Soleado,21.8,8,No,Si
Jueves,10,Soleado,22.1,0,No,No
Sabado,16,Soleado,32.3,7,Si,No
Jueves,11,Soleado,29.9,7,No,No
Domingo,20,Nublado,24.6,1,Si,No
Domingo,20,Nublado,15.5,16,Si,Si
Miercoles,17,Soleado,31.9,19,Si,No
Viernes,19,Lluvioso,13.4,15,No,Si
Domingo,9,Nublado,18.1,11,No,Si
Domingo,13,Lluvioso,11.1,10,Si,Si
Domingo,8,Soleado,29.6,4,No,Si
Martes,14,Lluvioso,18.2,20,No,No
Domingo,15,Lluvioso,12.7,13,No,Si
Miercoles,19,Soleado,30.2,12,No,Si
Domingo,8,Soleado,31.6,6,No,No
Domingo,10,Nublado,24.6,1,Si,Si
Miercoles,8,Nublado,25.4,19,Si,No
Miercoles,16,Lluvioso,25,15,No,No
Jueves,13,Nublado,29.9,5,No,No
Martes,8,Soleado,22.5,19,Si,No
Domingo,10,Lluvioso,11.5,9,Si,No
Martes,16,Lluvioso,14.8,14,No,No
Jueves,10,Nublado,19.7,15,Si,No
Domingo,10,Soleado,28.5,7,No,Si
Jueves,16,Lluvioso,11.4,18,Si,No
Jueves,10,Lluvioso,13,9,No,No
Sabado,11,Soleado,23.5,19,Si,Si
Jueves,9,Nublado,18.3,15,No,No
Jueves,17,Soleado,27.6,20,No,Si
Miercoles,19,Lluvioso,24.9,13,No,Si
Martes,8,Soleado,28.9,18,No,No
Viernes,14,Nublado,18.9,0,Si,No
Sabado,9,Soleado,22.6,1,Si,Si
Sabado,14,Lluvioso,12.9,3,Si,Si
Domingo,13,Soleado,29.3,8,No,Si
Jueves,20,Soleado,23.9,13,Si,No
Viernes,14,Soleado,30.7,12,Si,No
Lunes,14,Nublado,26.7,13,No,No
Viernes,17,Soleado,30.4,19,Si,No
Jueves,18,Lluvioso,13.5,5,No,No
Jueves,17,Lluvioso,10.5,15,No,No
Viernes,16,Nublado,20.4,18,No,No
Jueves,11,Lluvioso,18.6,16,Si,No
Martes,19,Lluvioso,21.2,20,Si,No
Miercoles,15,Lluvioso,10.4,18,No,No
Martes,13,Soleado,22.6,9,Si,No
Martes,11,Nublado,21.7,16,Si,No
Domingo,19,Nublado,21.3,8,No,No
Domingo,20,Lluvioso,16.6,17,Si,No
Lunes,16,Lluvioso,11.2,10,Si,No
Miercoles,9,Nublado,29.9,19,Si,No
Miercoles,9,Nublado,27.2,3,Si,No
Lunes,12,Soleado,24.8,15,No,No
Viernes,17,Nublado,18.6,4,No,Si
Lunes,14,Soleado,28.5,12,Si,No
Viernes,12,Soleado,27,9,Si,No
Viernes,18,Lluvioso,10.6,20,No,Si
Jueves,16,Lluvioso,22.1,15,Si,No
Lunes,16,Nublado,29,13,Si,No
Miercoles,14,Nublado,25.5,0,Si,No
Miercoles,20,Soleado,20.5,17,Si,No
Martes,13,Nublado,29.6,4,Si,No
Jueves,17,Soleado,29.6,9,Si,No
Jueves,10,Soleado,25.5,16,Si,No
Sabado,13,Soleado,28.6,14,Si,Si
Lunes,8,Lluvioso,18.8,8,Si,No
Miercoles,16,Lluvioso,12.3,18,No,No
Viernes,9,Lluvioso,22.1,3,No,No
Jueves,13,Lluvioso,10.2,20,No,No
Martes,19,Lluvioso,19.4,13,Si,Si
Viernes,18,Soleado,28.5,7,Si,No
Jueves,18,Nublado,25.2,11,No,Si
Lunes,13,Lluvioso,23.3,19,No,No
Martes,11,Soleado,26.8,4,No,No
Miercoles,8,Soleado,31.3,2,No,No
Jueves,12,Soleado,20.8,13,Si,No
Lunes,9,Nublado,25.5,8,Si,No
Viernes,14,Soleado,27.6,15,No,No
Sabado,12,Nublado,21.5,17,Si,No
Domingo,18,Soleado,27,19,No,No
Miercoles,19,Lluvioso,15.2,20,Si,Si
Viernes,13,Soleado,31.5,10,Si,No
Miercoles,17,Soleado,32,0,No,Si
Jueves,17,Soleado,24.1,5,No,Si
Miercoles,13,Nublado,22.3,18,No,No
Sabado,15,Soleado,34.5,20,No,No
Lunes,17,Nublado,26,16,Si,Si
Viernes,15,Nublado,16.7,1,Si,No
Lunes,8,Soleado,22.4,0,No,No
Martes,9,Lluvioso,20.6,15,No,No
Lunes,13,Soleado,20,11,Si,No
Miercoles,14,Nublado,22.7,0,Si,No
Martes,14,Nublado,18.3,8,No,No
Jueves,16,Lluvioso,13.3,1,No,No
Miercoles,17,Nublado,27.3,0,No,No
Martes,12,Lluvioso,24.6,5,Si,No
Lunes,9,Nublado,29.5,20,No,No
Jueves,11,Soleado,20.7,1,Si,No
Miercoles,16,Soleado,29.8,10,No,No
Miercoles,14,Nublado,27,16,Si,No
Domingo,17,Nublado,29.3,7,No,Si
Sabado,15,Nublado,30,8,Si,Si
Viernes,11,Nublado,25.2,13,Si,No
Domingo,16,Soleado,25,7,No,Si
Martes,16,Nublado,27.1,12,Si,No
Sabado,9,Nublado,27.7,9,No,Si
Martes,15,Nublado,22.7,7,Si,No
Sabado,17,Lluvioso,16.7,10,No,Si
Lunes,19,Soleado,34.8,3,Si,Si
Miercoles,14,Soleado,30.8,8,Si,No
Sabado,14,Lluvioso,22.9,15,Si,No
Viernes,20,Soleado,32.3,7,Si,Si
Domingo,16,Nublado,21.3,16,Si,Si
Miercoles,8,Lluvioso,11.3,14,No,No
Miercoles,18,Nublado,28.6,18,No,No
Viernes,11,Lluvioso,13.7,16,No,No
Lunes,12,Soleado,27.6,16,No,No
Lunes,11,Lluvioso,14.5,10,Si,No
Martes,8,Lluvioso,19.5,6,No,No
Jueves,20,Soleado,25.1,18,No,Si
Miercoles,11,Soleado,31,6,No,No
Sabado,13,Nublado,24.9,13,Si,No
Viernes,20,Soleado,23.4,19,No,No
Lunes,18,Soleado,23.8,14,No,Si
Jueves,13,Lluvioso,18.1,14,Si,No
Sabado,18,Lluvioso,10.9,18,No,Si
Martes,9,Lluvioso,20.1,15,Si,No
Miercoles,10,Lluvioso,19.6,14,Si,No
Miercoles,11,Nublado,17.3,9,Si,No
Martes,10,Lluvioso,12.3,10,Si,No
Domingo,13,Nublado,24.7,13,Si,No
Martes,17,Soleado,23.5,20,No,Si
Martes,18,Soleado,30.9,18,No,Si
Viernes,11,Soleado,29,13,Si,No
Sabado,16,Lluvioso,20.1,3,No,Si
Domingo,14,Nublado,16.4,11,No,No
Viernes,10,Soleado,28.1,3,Si,No
Jueves,14,Soleado,29.5,6,No,No
Domingo,19,Soleado,21.8,11,Si,Si
Viernes,17,Lluvioso,22.7,10,No,Si
Martes,17,Soleado,24.6,11,Si,Si
Sabado,9,Lluvioso,16.3,14,Si,Si
Sabado,18,Lluvioso,18.4,20,Si,Si
Jueves,11,Soleado,31,3,Si,No
Jueves,17,Soleado,26.3,12,No,Si
Domingo,13,Lluvioso,23.8,4,No,Si
Domingo,9,Lluvioso,13.2,15,No,Si
Martes,17,Soleado,25.6,20,No,No
Sabado,13,Soleado,30.1,18,Si,Si
Miercoles,12,Nublado,24,10,No,No
Lunes,17,Nublado,15.5,20,Si,Si
Viernes,17,Nublado,26.8,18,No,No
Domingo,18,Nublado,16.1,12,Si,Si
Miercoles,17,Lluvioso,16.3,20,No,Si
Viernes,19,Nublado,27.6,10,Si,Si
Lunes,9,Soleado,29.9,16,No,No
Martes,16,Soleado,28.1,20,No,No
Martes,16,Lluvioso,23.7,19,No,No
Sabado,10,Lluvioso,10.8,11,Si,Si
Sabado,13,Lluvioso,14.3,12,No,Si
Viernes,17,Soleado,25.3,17,Si,Si
Martes,15,Lluvioso,10.1,15,Si,No
Miercoles,9,Soleado,33.9,11,No,No
Domingo,19,Nublado,22.6,10,No,No
Viernes,9,Nublado,18,7,Si,No
Lunes,18,Soleado,29.1,10,Si,Si
Jueves,15,Lluvioso,12.5,16,No,No
Lunes,12,Lluvioso,20,10,No,No
Miercoles,10,Nublado,28.6,2,Si,No
Sabado,16,Soleado,33.6,19,Si,Si
Miercoles,17,Lluvioso,10.2,14,No,Si
Jueves,11,Soleado,28.3,9,Si,No
Viernes,16,Soleado,23.7,6,No,No
Martes,12,Lluvioso,22.4,1,Si,No
Viernes,8,Nublado,19.4,0,No,No
Jueves,12,Lluvioso,14.6,19,Si,No
Jueves,12,Soleado,27,4,Si,No
Jueves,13,Soleado,31.9,5,No,No
Domingo,19,Lluvioso,22.4,4,Si,Si
Miercoles,9,Lluvioso,15,20,No,No
Jueves,16,Soleado,25.2,6,Si,No
Sabado,12,Soleado,30.3,2,Si,Si
